"hs6_query","national_tariff_code","unit","description","import_rate","export_rate","trq","sst","excise","cess_1","cess_2","cess_3","source_file","source_sha256"
"840999","8409994800","kg","- - - - Piston rings and gudgeon pins","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840999.html","3b68f3e013a42bb3e32995ac4a9300a889b78fb13e854d2bc746a71d1d998ba6"
"840999","8409994900","kg","- - - - Other","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840999.html","3b68f3e013a42bb3e32995ac4a9300a889b78fb13e854d2bc746a71d1d998ba6"
"840999","8409995100","kg","- - - - - Cylinder blocks; crank cases","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840999.html","3b68f3e013a42bb3e32995ac4a9300a889b78fb13e854d2bc746a71d1d998ba6"
"840999","8409995200","kg","- - - - - Cylinder liners, with an internal diameter of 50 mm or more, but not exceeding 155 mm","30%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840999.html","3b68f3e013a42bb3e32995ac4a9300a889b78fb13e854d2bc746a71d1d998ba6"
"840999","8409995300","kg","- - - - - Other cylinder liners","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840999.html","3b68f3e013a42bb3e32995ac4a9300a889b78fb13e854d2bc746a71d1d998ba6"
"840999","8409995400","kg","- - - - - Pistons, with an external diameter of 50 mm or more, but not exceeding 155 mm","30%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840999.html","3b68f3e013a42bb3e32995ac4a9300a889b78fb13e854d2bc746a71d1d998ba6"
"840999","8409995500","kg","- - - - - Other pistons","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840999.html","3b68f3e013a42bb3e32995ac4a9300a889b78fb13e854d2bc746a71d1d998ba6"
"840999","8409995900","kg","- - - - - Other","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840999.html","3b68f3e013a42bb3e32995ac4a9300a889b78fb13e854d2bc746a71d1d998ba6"
"840999","8409996100","kg","- - - - - Cylinder blocks; crank cases","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840999.html","3b68f3e013a42bb3e32995ac4a9300a889b78fb13e854d2bc746a71d1d998ba6"
"840999","8409996200","kg","- - - - - Cylinder liners, with an internal diameter of 50 mm or more, but not exceeding 155 mm","30%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840999.html","3b68f3e013a42bb3e32995ac4a9300a889b78fb13e854d2bc746a71d1d998ba6"
"840999","8409996300","kg","- - - - - Other cylinder liners","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840999.html","3b68f3e013a42bb3e32995ac4a9300a889b78fb13e854d2bc746a71d1d998ba6"
"840999","8409996400","kg","- - - - - Pistons, with an external diameter of 50 mm or more, but not exceeding 155 mm","30%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840999.html","3b68f3e013a42bb3e32995ac4a9300a889b78fb13e854d2bc746a71d1d998ba6"
"840999","8409996500","kg","- - - - - Other pistons","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840999.html","3b68f3e013a42bb3e32995ac4a9300a889b78fb13e854d2bc746a71d1d998ba6"
"840999","8409996900","kg","- - - - - Other","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840999.html","3b68f3e013a42bb3e32995ac4a9300a889b78fb13e854d2bc746a71d1d998ba6"
"840999","8409997100","kg","- - - - Carburettors and parts thereof","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840999.html","3b68f3e013a42bb3e32995ac4a9300a889b78fb13e854d2bc746a71d1d998ba6"
"840999","8409997200","kg","- - - - Cylinder blocks; crank cases","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840999.html","3b68f3e013a42bb3e32995ac4a9300a889b78fb13e854d2bc746a71d1d998ba6"
"840999","8409997300","kg","- - - - Cylinder liners, with an internal diameter of 50 mm or more, but not exceeding 155 mm","30%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840999.html","3b68f3e013a42bb3e32995ac4a9300a889b78fb13e854d2bc746a71d1d998ba6"
"840999","8409997400","kg","- - - - Other cylinder liners","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840999.html","3b68f3e013a42bb3e32995ac4a9300a889b78fb13e854d2bc746a71d1d998ba6"
"840999","8409997500","kg","- - - - Cylinder heads and head covers","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840999.html","3b68f3e013a42bb3e32995ac4a9300a889b78fb13e854d2bc746a71d1d998ba6"
"840999","8409997600","kg","- - - - Pistons, with an external diameter of 50 mm or more, but not exceeding 155 mm","30%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840999.html","3b68f3e013a42bb3e32995ac4a9300a889b78fb13e854d2bc746a71d1d998ba6"
"840999","8409997700","kg","- - - - Other pistons","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840999.html","3b68f3e013a42bb3e32995ac4a9300a889b78fb13e854d2bc746a71d1d998ba6"
"840999","8409997800","kg","- - - - Piston rings and gudgeon pins","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840999.html","3b68f3e013a42bb3e32995ac4a9300a889b78fb13e854d2bc746a71d1d998ba6"
"840999","8409997900","kg","- - - - Other","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840999.html","3b68f3e013a42bb3e32995ac4a9300a889b78fb13e854d2bc746a71d1d998ba6"
"841330","8413303000","u","- - Fuel pumps of a kind used for engines of motor vehicles of heading 87.02, 87.03 or 87.04","0%","0%","","5%","","","","","JKDM_HS_Explorer_PDK2025_841330.html","cdddb0942583d7824342032ffcf0a73c53961894b47e7222dfb291ba434f7f96"
"841330","8413304000","u","- - Water pumps of a kind used for engines of motor vehicles of heading 87.02, 87.03 or 87.04","25%","0%","","5%","","","","","JKDM_HS_Explorer_PDK2025_841330.html","cdddb0942583d7824342032ffcf0a73c53961894b47e7222dfb291ba434f7f96"
"841330","8413305100","u","- - - With an inlet diameter not exceeding 200 mm","25%","0%","","5%","","","","","JKDM_HS_Explorer_PDK2025_841330.html","cdddb0942583d7824342032ffcf0a73c53961894b47e7222dfb291ba434f7f96"
"841330","8413305200","u","- - - With an inlet diameter exceeding 200 mm","20%","0%","","5%","","","","","JKDM_HS_Explorer_PDK2025_841330.html","cdddb0942583d7824342032ffcf0a73c53961894b47e7222dfb291ba434f7f96"
"841330","8413309000","u","- - Other","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_841330.html","cdddb0942583d7824342032ffcf0a73c53961894b47e7222dfb291ba434f7f96"
"841381","8413811300","u","- - - Water pumps with a flow rate not exceeding 8,000 m3/h, electrically operated","0%","0%","","5%","","","","","JKDM_HS_Explorer_PDK2025_841381.html","ed34191f1ad6b77c5ffb9b0a963c8176d2d2d4241705d67eca69f2fcc5ef0ddc"
"841381","8413811400","u","- - - Water pumps with a flow rate not exceeding 8,000 m3/h, not electrically operated","0%","0%","","5%","","","","","JKDM_HS_Explorer_PDK2025_841381.html","ed34191f1ad6b77c5ffb9b0a963c8176d2d2d4241705d67eca69f2fcc5ef0ddc"
"841381","8413811500","u","- - - Water pumps, with a flow rate exceeding 8,000 m3/h but not exceeding 13,000 m3/h","0%","0%","","5%","","","","","JKDM_HS_Explorer_PDK2025_841381.html","ed34191f1ad6b77c5ffb9b0a963c8176d2d2d4241705d67eca69f2fcc5ef0ddc"
"841381","8413811900","u","- - - Other","0%","0%","","5%","","","","","JKDM_HS_Explorer_PDK2025_841381.html","ed34191f1ad6b77c5ffb9b0a963c8176d2d2d4241705d67eca69f2fcc5ef0ddc"
"841430","8414304000","u","- - With a refrigeration capacity exceeding 21.10 kW, or with a displacement per revolution of 220 cc or more","0%","0%","","5%","","","","","JKDM_HS_Explorer_PDK2025_841430.html","8487949ec15047c38c80654f0f6d5bc77c3843315272e6a9222ec17cc2ff454c"
"841430","8414309000","u","- - Other","0%","0%","","5%","","","","","JKDM_HS_Explorer_PDK2025_841430.html","8487949ec15047c38c80654f0f6d5bc77c3843315272e6a9222ec17cc2ff454c"
"841520","8415201000","u","- - Of a cooling capacity not exceeding 26.38 kW","30%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_841520.html","7443baf008edc1f6dfc68673ce76d0ba647493704ff98c646259a58b5cdcf781"
"841520","8415209000","u","- - Other","30%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_841520.html","7443baf008edc1f6dfc68673ce76d0ba647493704ff98c646259a58b5cdcf781"
"842123","8421231100","u","- - - - Oil filters","25%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_842123.html","ff257f69c0a038e7d6c6f411a1784e365ea4f5e708b629b543671cabf6e7255d"
"842123","8421231900","u","- - - - Other","0%","0%","","5%","","","","","JKDM_HS_Explorer_PDK2025_842123.html","ff257f69c0a038e7d6c6f411a1784e365ea4f5e708b629b543671cabf6e7255d"
"842123","8421232100","u","- - - - Oil filters","25%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_842123.html","ff257f69c0a038e7d6c6f411a1784e365ea4f5e708b629b543671cabf6e7255d"
"842123","8421232900","u","- - - - Other","0%","0%","","5%","","","","","JKDM_HS_Explorer_PDK2025_842123.html","ff257f69c0a038e7d6c6f411a1784e365ea4f5e708b629b543671cabf6e7255d"
"842123","8421239100","u","- - - - Oil filters","25%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_842123.html","ff257f69c0a038e7d6c6f411a1784e365ea4f5e708b629b543671cabf6e7255d"
"842123","8421239900","u","- - - - Other","0%","0%","","5%","","","","","JKDM_HS_Explorer_PDK2025_842123.html","ff257f69c0a038e7d6c6f411a1784e365ea4f5e708b629b543671cabf6e7255d"
"842131","8421311000","u","- - - For machinery of heading 84.29 or 84.30","25%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_842131.html","a837f07ddd6f9eef079690b61e70904224d499a764eb5eece3b9a40c4d12cf78"
"842131","8421312000","u","- - - For motor vehicles of Chapter 87","25%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_842131.html","a837f07ddd6f9eef079690b61e70904224d499a764eb5eece3b9a40c4d12cf78"
"842131","8421319000","u","- - - Other","25%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_842131.html","a837f07ddd6f9eef079690b61e70904224d499a764eb5eece3b9a40c4d12cf78"
"842132","8421320000","u","- - Catalytic converters or particulate filters, whether or not combined, for purifying or filtering exhaust gases from internal combustion engines","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_842132.html","7cf31d11988ba8a0d022076e76e959d3d346720c31968a5501c2ec98b3d36cc5"
"850131","8501313000","u","- - - Motors of a kind used for the goods of heading 84.15, 84.18, 84.50, 85.09 or 85.16","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_850131.html","6ffb47a098173cc62507a580e81865f305e2e54280b4c6c5d8be5f836783ba49"
"850131","8501316000","u","- - - Motors of a kind used for vehicles in Chapter 87","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_850131.html","6ffb47a098173cc62507a580e81865f305e2e54280b4c6c5d8be5f836783ba49"
"850131","8501317000","u","- - - Other motors","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_850131.html","6ffb47a098173cc62507a580e81865f305e2e54280b4c6c5d8be5f836783ba49"
"850131","8501318000","u","- - - Generators","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_850131.html","6ffb47a098173cc62507a580e81865f305e2e54280b4c6c5d8be5f836783ba49"
"851110","8511101000","u","- - Of a kind suitable for aircraft engines","10%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_851110.html","25483027f1dcee7eb755e3767841f3d1f33da621a4586f0a9b1ad4799483b617"
"851110","8511102000","u","- - Of a kind suitable for motor vehicle engines","10%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_851110.html","25483027f1dcee7eb755e3767841f3d1f33da621a4586f0a9b1ad4799483b617"
"851110","8511109000","u","- - Other","10%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_851110.html","25483027f1dcee7eb755e3767841f3d1f33da621a4586f0a9b1ad4799483b617"
"851130","8511303000","u","- - Of a kind suitable for aircraft engines","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_851130.html","7ce8ba81d1baa9a29a9ac72acc5d4ba260a4e868f75195bc43ed4f632c8576fa"
"851130","8511304100","u","- - - Unassembled","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_851130.html","7ce8ba81d1baa9a29a9ac72acc5d4ba260a4e868f75195bc43ed4f632c8576fa"
"851130","8511304900","u","- - - Other","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_851130.html","7ce8ba81d1baa9a29a9ac72acc5d4ba260a4e868f75195bc43ed4f632c8576fa"
"851130","8511309100","u","- - - Unassembled","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_851130.html","7ce8ba81d1baa9a29a9ac72acc5d4ba260a4e868f75195bc43ed4f632c8576fa"
"851130","8511309900","u","- - - Other","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_851130.html","7ce8ba81d1baa9a29a9ac72acc5d4ba260a4e868f75195bc43ed4f632c8576fa"
"851140","8511401000","u","- - Of a kind used for aircraft engines","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_851140.html","c120ba4631a55a2c230189f484334b03164c4ac5ed57d993b047509ec985efe6"
"851140","8511402100","u","- - - For engines of vehicles of heading 87.02, 87.03, 87.04 or 87.05","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_851140.html","c120ba4631a55a2c230189f484334b03164c4ac5ed57d993b047509ec985efe6"
"851140","8511402900","u","- - - Other","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_851140.html","c120ba4631a55a2c230189f484334b03164c4ac5ed57d993b047509ec985efe6"
"851140","8511403100","u","- - - For engines of vehicles of heading 87.01","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_851140.html","c120ba4631a55a2c230189f484334b03164c4ac5ed57d993b047509ec985efe6"
"851140","8511403200","u","- - - For engines of vehicles of heading 87.02, 87.03 or 87.04","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_851140.html","c120ba4631a55a2c230189f484334b03164c4ac5ed57d993b047509ec985efe6"
"851140","8511403300","u","- - - For engines of vehicles of heading 87.05","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_851140.html","c120ba4631a55a2c230189f484334b03164c4ac5ed57d993b047509ec985efe6"
"851140","8511409100","u","- - - For engines of vehicles of heading 87.02, 87.03, 87.04 or 87.05","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_851140.html","c120ba4631a55a2c230189f484334b03164c4ac5ed57d993b047509ec985efe6"
"851140","8511409900","u","- - - Other","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_851140.html","c120ba4631a55a2c230189f484334b03164c4ac5ed57d993b047509ec985efe6"
"851150","8511501000","u","- - Of a kind used for aircraft engines","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_851150.html","4ab761847c485451100022ba9cfdbf9acc0ec8d8d6dac761cf8aa90a0d13e131"
"851150","8511502100","u","- - - For engines of vehicles of heading 87.02, 87.03, 87.04 or 87.05","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_851150.html","4ab761847c485451100022ba9cfdbf9acc0ec8d8d6dac761cf8aa90a0d13e131"
"851150","8511502900","u","- - - Other","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_851150.html","4ab761847c485451100022ba9cfdbf9acc0ec8d8d6dac761cf8aa90a0d13e131"
"851150","8511503100","u","- - - For engines of vehicles of heading 87.01","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_851150.html","4ab761847c485451100022ba9cfdbf9acc0ec8d8d6dac761cf8aa90a0d13e131"
"851150","8511503200","u","- - - For engines of vehicles of heading 87.02, 87.03 or 87.04","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_851150.html","4ab761847c485451100022ba9cfdbf9acc0ec8d8d6dac761cf8aa90a0d13e131"
"851150","8511503300","u","- - - For engines of vehicles of heading 87.05","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_851150.html","4ab761847c485451100022ba9cfdbf9acc0ec8d8d6dac761cf8aa90a0d13e131"
"851150","8511509100","u","- - - For engines of vehicles of heading 87.02, 87.03, 87.04 or 87.05","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_851150.html","4ab761847c485451100022ba9cfdbf9acc0ec8d8d6dac761cf8aa90a0d13e131"
"851150","8511509900","u","- - - Other","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_851150.html","4ab761847c485451100022ba9cfdbf9acc0ec8d8d6dac761cf8aa90a0d13e131"
"851220","8512202000","u","- - Unassembled lighting or visual signalling equipment","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_851220.html","86b3e9975089b4e42faf95b9f37daea7f5f76d7a4f8037e0a33336726c72bb1f"
"851220","8512209100","u","- - - For motorcycles","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_851220.html","86b3e9975089b4e42faf95b9f37daea7f5f76d7a4f8037e0a33336726c72bb1f"
"851220","8512209900","u","- - - Other","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_851220.html","86b3e9975089b4e42faf95b9f37daea7f5f76d7a4f8037e0a33336726c72bb1f"
"851230","8512301000","u","- - Horns and sirens, assembled","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_851230.html","20c2dc323b76423aa0507418c3781a820d6cf739bdea940775411fc6eb11cd42"
"851230","8512302000","u","- - Unassembled sound signalling equipment","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_851230.html","20c2dc323b76423aa0507418c3781a820d6cf739bdea940775411fc6eb11cd42"
"851230","8512309100","u","- - - Obstacle detection (warning) devices for vehicles","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_851230.html","20c2dc323b76423aa0507418c3781a820d6cf739bdea940775411fc6eb11cd42"
"851230","8512309900","u","- - - Other","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_851230.html","20c2dc323b76423aa0507418c3781a820d6cf739bdea940775411fc6eb11cd42"
"851240","8512400000","u","- Windscreen wipers, defrosters and demisters","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_851240.html","81fdff1c3fc1b1ffafbf1934b4465e90155af11b961033fb61a1e08b3f5e629c"
"851829","8518292000","u","- - - Loudspeakers, without enclosure, having a frequency range of 300 Hz to 3,400 Hz, with a diameter not exceeding 50 mm, for telecommunication use","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_851829.html","a944f68df8506482c323b00f6509b9a8c72b41aaedd3509e5e0e800179d2c9d3"
"851829","8518299000","u","- - - Other","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_851829.html","a944f68df8506482c323b00f6509b9a8c72b41aaedd3509e5e0e800179d2c9d3"
"852721","8527211000","u","- - - Capable of receiving and decoding digital radio data system signals","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_852721.html","ba14385a667bc92091e3eda3b3ed75756486afab2f67878703772b35b694838e"
"852721","8527219000","u","- - - Other","20%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_852721.html","ba14385a667bc92091e3eda3b3ed75756486afab2f67878703772b35b694838e"
"853120","8531200000","u","- Indicator panels incorporating liquid crystal devices (LCD) or light emitting diodes (LED)","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_853120.html","41ad4ad3be15dad85f8c70376a69b7576dc35d87261c5a0bfd3957c3b5c33bc8"
"853710","8537101100","kg","- - - Control panels of a kind suitable for use in distributed control systems","15%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_853710.html","a8957141a0143cb028e43f066c0caaec1043967496c8fc5575e5ec6bedfcf070"
"853710","8537101200","kg","- - - Control panels fitted with a programmable processor","15%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_853710.html","a8957141a0143cb028e43f066c0caaec1043967496c8fc5575e5ec6bedfcf070"
"853710","8537101300","kg","- - - Other control panels of a kind suitable for goods of heading 84.15, 84.18, 84.50, 85.08, 85.09 or 85.16","15%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_853710.html","a8957141a0143cb028e43f066c0caaec1043967496c8fc5575e5ec6bedfcf070"
"853710","8537101900","kg","- - - Other","15%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_853710.html","a8957141a0143cb028e43f066c0caaec1043967496c8fc5575e5ec6bedfcf070"
"853710","8537102000","kg","- - Distribution boards (including back panels and back planes) for use solely or principally with goods of heading 84.71, 85.17 or 85.25","15%","0%","","5%","","","","","JKDM_HS_Explorer_PDK2025_853710.html","a8957141a0143cb028e43f066c0caaec1043967496c8fc5575e5ec6bedfcf070"
"853710","8537103000","kg","- - Programmable logic controllers for automated machines for transport, handling and storage of dies for semiconductor devices","15%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_853710.html","a8957141a0143cb028e43f066c0caaec1043967496c8fc5575e5ec6bedfcf070"
"853710","8537104000","kg","- - Motor controllers with output rating of 24 V to 120 V DC and with ampere rating of 300 A to 500 A","15%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_853710.html","a8957141a0143cb028e43f066c0caaec1043967496c8fc5575e5ec6bedfcf070"
"853710","8537109100","kg","- - - Of a kind used in radio equipment or in electric fans","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_853710.html","a8957141a0143cb028e43f066c0caaec1043967496c8fc5575e5ec6bedfcf070"
"853710","8537109200","kg","- - - Of a kind suitable for use in distributed control systems","15%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_853710.html","a8957141a0143cb028e43f066c0caaec1043967496c8fc5575e5ec6bedfcf070"
"853710","8537109900","kg","- - - Other","15%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_853710.html","a8957141a0143cb028e43f066c0caaec1043967496c8fc5575e5ec6bedfcf070"
"854430","8544301200","kg","- - - - Of a kind used for vehicles of heading 87.02, 87.03, 87.04 or 87.11","30%","0%","","10%","","NIL","NIL","0.2%","JKDM_HS_Explorer_PDK2025_854430.html","32a33c3de2fad0e26df2fdc4c3eaa5998adeef29335c7b3e2aab3ecd79732db9"
"854430","8544301300","kg","- - - - Other","30%","0%","","10%","","NIL","NIL","0.2%","JKDM_HS_Explorer_PDK2025_854430.html","32a33c3de2fad0e26df2fdc4c3eaa5998adeef29335c7b3e2aab3ecd79732db9"
"854430","8544301400","kg","- - - - Of a kind used for vehicles of heading 87.02, 87.03, 87.04 or 87.11","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_854430.html","32a33c3de2fad0e26df2fdc4c3eaa5998adeef29335c7b3e2aab3ecd79732db9"
"854430","8544301900","kg","- - - - Other","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_854430.html","32a33c3de2fad0e26df2fdc4c3eaa5998adeef29335c7b3e2aab3ecd79732db9"
"854430","8544309100","kg","- - - Insulated with rubber or plastics","30%","0%","","10%","","NIL","NIL","0.2%","JKDM_HS_Explorer_PDK2025_854430.html","32a33c3de2fad0e26df2fdc4c3eaa5998adeef29335c7b3e2aab3ecd79732db9"
"854430","8544309900","kg","- - - Other","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_854430.html","32a33c3de2fad0e26df2fdc4c3eaa5998adeef29335c7b3e2aab3ecd79732db9"
"870321","8703211100","u","- - - - Go-karts","0%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870321.html","a2b39c666f650e1a65f6420ef4cf579b9eda4c05543d8198f1b7e701cb371e8a"
"870321","8703211200","u","- - - - All-Terrain Vehicles (ATV)","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870321.html","a2b39c666f650e1a65f6420ef4cf579b9eda4c05543d8198f1b7e701cb371e8a"
"870321","8703211300","u","- - - - Ambulances","5%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870321.html","a2b39c666f650e1a65f6420ef4cf579b9eda4c05543d8198f1b7e701cb371e8a"
"870321","8703211400","u","- - - - Motor-homes","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870321.html","a2b39c666f650e1a65f6420ef4cf579b9eda4c05543d8198f1b7e701cb371e8a"
"870321","8703211500","u","- - - - Sedan","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870321.html","a2b39c666f650e1a65f6420ef4cf579b9eda4c05543d8198f1b7e701cb371e8a"
"870321","8703212100","u","- - - - - Of four-wheel drive","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870321.html","a2b39c666f650e1a65f6420ef4cf579b9eda4c05543d8198f1b7e701cb371e8a"
"870321","8703212900","u","- - - - - Other","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870321.html","a2b39c666f650e1a65f6420ef4cf579b9eda4c05543d8198f1b7e701cb371e8a"
"870321","8703213100","u","- - - - - Three-wheeled vehicles","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870321.html","a2b39c666f650e1a65f6420ef4cf579b9eda4c05543d8198f1b7e701cb371e8a"
"870321","8703213900","u","- - - - - Other","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870321.html","a2b39c666f650e1a65f6420ef4cf579b9eda4c05543d8198f1b7e701cb371e8a"
"870321","8703214100","u","- - - - Go-karts","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_870321.html","a2b39c666f650e1a65f6420ef4cf579b9eda4c05543d8198f1b7e701cb371e8a"
"870321","8703214200","u","- - - - All-Terrain Vehicles (ATV)","30%","0%","","10%","65%","","","","JKDM_HS_Explorer_PDK2025_870321.html","a2b39c666f650e1a65f6420ef4cf579b9eda4c05543d8198f1b7e701cb371e8a"
"870321","8703214300","u","- - - - Ambulances","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_870321.html","a2b39c666f650e1a65f6420ef4cf579b9eda4c05543d8198f1b7e701cb371e8a"
"870321","8703214400","u","- - - - Motor-homes","35%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_870321.html","a2b39c666f650e1a65f6420ef4cf579b9eda4c05543d8198f1b7e701cb371e8a"
"870321","8703214500","u","- - - - Sedan","30%","0%","","10%","75%","","","","JKDM_HS_Explorer_PDK2025_870321.html","a2b39c666f650e1a65f6420ef4cf579b9eda4c05543d8198f1b7e701cb371e8a"
"870321","8703215100","u","- - - - - Of four-wheel drive","30%","0%","","10%","75%","","","","JKDM_HS_Explorer_PDK2025_870321.html","a2b39c666f650e1a65f6420ef4cf579b9eda4c05543d8198f1b7e701cb371e8a"
"870321","8703215900","u","- - - - - Other","30%","0%","","10%","75%","","","","JKDM_HS_Explorer_PDK2025_870321.html","a2b39c666f650e1a65f6420ef4cf579b9eda4c05543d8198f1b7e701cb371e8a"
"870321","8703219100","u","- - - - - Three-wheeled vehicles","30%","0%","","10%","60%","","","","JKDM_HS_Explorer_PDK2025_870321.html","a2b39c666f650e1a65f6420ef4cf579b9eda4c05543d8198f1b7e701cb371e8a"
"870321","8703219900","u","- - - - - Other","30%","0%","","10%","60%","","","","JKDM_HS_Explorer_PDK2025_870321.html","a2b39c666f650e1a65f6420ef4cf579b9eda4c05543d8198f1b7e701cb371e8a"
"870322","8703221100","u","- - - - Go-karts","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870322.html","fe9dc118ee150e7ac2ad9e2676f71ac7bd192bc47ec051b49625b7a3c0a1a3c4"
"870322","8703221200","u","- - - - All-Terrain Vehicles (ATV)","10%","0%","","0%","","","","","JKDM_HS_Explorer_PDK2025_870322.html","fe9dc118ee150e7ac2ad9e2676f71ac7bd192bc47ec051b49625b7a3c0a1a3c4"
